frequency_Hz,frequency_offset_Hz,lorentzian_resonance_gain,candidate_residual_force_N,mechanical_artifact_force_N,measured_force_N
2448500000.0,-1500000.0,0.004610206201600997,1.1250910950023338e-09,5.941299346775118e-10,2.0777722995924777e-09
2448507500.0,-1492500.0,0.004656440056353591,1.1363741691198668e-09,5.984515753229813e-10,2.1748191123863785e-09
2448515000.0,-1485000.0,0.004703371798465161,1.1478275581470946e-09,6.028195258757707e-10,4.469022234503739e-09
2448522500.0,-1477500.0,0.004751015522147488,1.1594547016855166e-09,6.072344350788192e-10,3.436911628593493e-09
2448530000.0,-1470000.0,0.0047993856786331356,1.1712591264652525e-09,6.116969627844486e-10,2.49669820754872e-09
2448537500.0,-1462500.0,0.004848497087064953,1.183244449002555e-09,6.162077801767376e-10,4.726058011618417e-09
2448545000.0,-1455000.0,0.004898364945774426,1.1954143783522181e-09,6.207675699989297e-10,-5.61344160294554e-10
2448552500.0,-1447500.0,0.004949004843964743,1.2077727189587541e-09,6.25377026785988e-10,5.536466802452466e-10
2448560000.0,-1440000.0,0.005000432773815243,1.2203233736104071e-09,6.300368571024356e-10,-2.791652098207168e-12
2448567500.0,-1432500.0,0.005052665143024725,1.233070346500265e-09,6.347477797856029e-10,1.0881985199743322e-09
2448575000.0,-1425000.0,0.005105718787811772,1.2460177463989061e-09,6.395105261944244e-10,-8.678440225192872e-10
2448582500.0,-1417500.0,0.005159610986391262,1.2591697899432546e-09,6.443258404639195e-10,3.1737975240359826e-09
2448590000.0,-1410000.0,0.005214359472947051,1.2725308050465232e-09,6.49194479765497e-10,1.4772798906144732e-09
2448597500.0,-1402500.0,0.005269982452121737,1.2861052344343468e-09,6.541172145732354e-10,-1.0013901399977337e-09
2448605000.0,-1395000.0,0.005326498614045505,1.2998976393124757e-09,6.590948289362795e-10,-7.21656941663278e-11
2448612500.0,-1387500.0,0.00538392714992701,1.3139127031716292e-09,6.641281207575161e-10,2.605068518829536e-09
2448620000.0,-1380000.0,0.005442287768230439,1.3281552357354037e-09,6.692179020786769e-10,3.673626273602843e-09
2448627500.0,-1372500.0,0.00550160071146398,1.342630177057391e-09,6.743649993720387e-10,6.010456959813003e-09
2448635000.0,-1365000.0,0.005561886773606236,1.3573426017739804e-09,6.795702538388782e-10,7.864637787627517e-09
2448642500.0,-1357500.0,0.005623167318198387,1.3722977235196368e-09,6.848345217148581e-10,2.8859511117864877e-09
2448650000.0,-1350000.0,0.005685464297131222,1.387500899511752e-09,6.901586745825169e-10,9.858333403054055e-11
2448657500.0,-1342500.0,0.005748800270157697,1.4029576353125603e-09,6.955435996910374e-10,-2.165591326459021e-09
2448665000.0,-1335000.0,0.005813198425163144,1.4186735897759522e-09,7.009902002834859e-10,2.65508671474711e-09
2448672500.0,-1327500.0,0.005878682599226826,1.4346545801874107e-09,7.064993959317004e-10,5.15271785498459e-10
2448680000.0,-1320000.0,0.005945277300510319,1.4509065876057297e-09,7.12072122879033e-10,1.332264190125392e-09
2448687500.0,-1312500.0,0.006013007731009939,1.4674357624155967e-09,7.177093343911312e-10,9.609514986871119e-10
2448695000.0,-1305000.0,0.006081899810212302,1.4842484301005816e-09,7.234120011149774e-10,1.9260786583827886e-09
2448702500.0,-1297500.0,0.00615198019969415,1.5013510972465632e-09,7.291811114463795e-10,4.36249267026823e-09
2448710000.0,-1290000.0,0.006223276328709671,1.5187504577861513e-09,7.350176719061403e-10,2.567865264582981e-09
2448717500.0,-1282500.0,0.006295816420810795,1.5364533994951972e-09,7.409227075251187e-10,1.9601064329429392e-09
2448725000.0,-1275000.0,0.006369629521548238,1.5544670107530551e-09,7.468972622384074e-10,2.3005676733983907e-10
2448732500.0,-1267500.0,0.0064447455273036565,1.572798587578885e-09,7.529423992888661e-10,-1.023624902540963e-09
2448740000.0,-1260000.0,0.00652119521530591,1.5914556409569252e-09,7.590592016402362e-10,1.3778990244504996e-09
2448747500.0,-1252500.0,0.00659901027488712,1.6104459044643346e-09,7.65248772400093e-10,2.268129575227787e-09
2448755000.0,-1245000.0,0.006678223340037333,1.6297773422159464e-09,7.715122352528732e-10,5.937149404628586e-09
2448762500.0,-1237500.0,0.006758868023319642,1.6494581571410358e-09,7.77850734903246e-10,2.6878579349900534e-09
2448770000.0,-1230000.0,0.006840978951210969,1.6694967996080104e-09,7.842654375300768e-10,4.419241259184203e-09
2448777500.0,-1222500.0,0.0069245918009372244,1.6899019764137918e-09,7.907575312512675e-10,1.482068310586755e-09
2448785000.0,-1215000.0,0.0070097433388753416,1.710682660155586e-09,7.97328226599738e-10,1.3812335392127468e-10
2448792500.0,-1207500.0,0.007096471460598651,1.7318480990036984e-09,8.039787570108362e-10,6.055933315497906e-10
2448800000.0,-1200000.0,0.007184815232646174,1.7534078268950598e-09,8.107103793214711e-10,1.1136660771450244e-09
2448807500.0,-1192500.0,0.007274814936101007,1.7753716741682508e-09,8.175243742812558e-10,6.849835513319836e-09
2448815000.0,-1185000.0,0.007366512112067689,1.7977497786619607e-09,8.2442204707598e-10,9.793984672891682e-10
2448822500.0,-1177500.0,0.007459949609143384,1.8205525973000216e-09,8.314047278637086e-10,4.32893573263642e-09
2448830000.0,-1170000.0,0.007555171632983167,1.8437909181874985e-09,8.384737723238413e-10,8.764103343372869e-10
2448837500.0,-1162500.0,0.007652223798065432,1.8674758732437026e-09,8.456305622194495e-10,4.57625246121164e-09
2448845000.0,-1155000.0,0.007751153181769287,1.891618951399431e-09,8.528765059732339e-10,3.5143973895843913e-09
2448852500.0,-1147500.0,0.007852008380882514,1.9162320123873696e-09,8.602130392574468e-10,2.4631692563286353e-09
2448860000.0,-1140000.0,0.007954839570665282,1.9413273011562127e-09,8.676416255981233e-10,2.727443874483468e-09
2448867500.0,-1132500.0,0.008059698566602247,1.9669174629408623e-09,8.751637569939972e-10,1.5325058290760785e-09
2448875000.0,-1125000.0,0.008166638888983372,1.9930155590229635e-09,8.827809545504535e-10,3.7679409165375776e-09
2448882500.0,-1117500.0,0.008275715830462051,2.0196350832180278e-09,8.904947691289133e-10,2.000162891665381e-09
2448890000.0,-1110000.0,0.008386986526748024,2.0467899791275826e-09,8.983067820120211e-10,4.938852336051069e-10
2448897500.0,-1102500.0,0.008500510030601838,2.074494658197042e-09,9.06218605585048e-10,4.2483811514285113e-10
2448905000.0,-1095000.0,0.008616347389307747,2.1027640186224717e-09,9.142318840338966e-10,3.3621717381006073e-09
2448912500.0,-1087500.0,0.008734561725812615,2.1316134651520104e-09,9.2234829406014e-10,6.212144272033021e-09
2448920000.0,-1080000.0,0.008855218323729668,2.161058929830491e-09,9.305695456135078e-10,3.411611702590875e-09
2448927500.0,-1072500.0,0.00897838471641841,2.1911168937388173e-09,9.388973826422503e-10,2.8927376241613023e-09
2448935000.0,-1065000.0,0.009104130780364686,2.2218044097827674e-09,9.47333583861833e-10,3.740790272849686e-09
2448942500.0,-1057500.0,0.009232528833099102,2.2531391265893528e-09,9.558799635424016e-10,5.821022573545404e-09
2448950000.0,-1050000.0,0.009363653735906748,2.285139313572464e-09,9.645383723154897e-10,3.6884426886156664e-09
2448957500.0,-1042500.0,0.009497583001596985,2.31782388723339e-09,9.733106980004282e-10,2.469280123566344e-09
2448965000.0,-1035000.0,0.009634396907619414,2.351212438766045e-09,9.821988664509494e-10,5.545988725336772e-09
2448972500.0,-1027500.0,0.00977417861482995,2.3853252630410597e-09,9.91204842422465e-10,4.234042982386752e-09
2448980000.0,-1020000.0,0.009917014292230825,2.4201833890477755e-09,1.0003306304605228e-09,6.492026003500282e-09
2448987500.0,-1012500.0,0.010062993248029107,2.4558086118782317e-09,1.0095782758109567e-09,3.831855762133e-09
2448995000.0,-1005000.0,0.010212208067380666,2.4922235263426913e-09,1.0189498653522327e-09,1.0622353282539234e-09
2449002500.0,-997500.0,0.010364754757210905,2.529451562312207e-09,1.0284475285505402e-09,8.215806923714167e-10
2449010000.0,-990000.0,0.010520732898528957,2.567517021889918e-09,1.0380734384381442e-09,6.907446324790562e-09
2449017500.0,-982500.0,0.010680245806680165,2.606445118519636e-09,1.0478298126155692e-09,7.101606372701799e-09
2449025000.0,-975000.0,0.010843400700011293,2.646262018147501e-09,1.0577189142781432e-09,3.344942505860443e-09
2449032500.0,-967500.0,0.011010308877454756,2.6869948825602678e-09,1.0677430532674937e-09,2.9883632935557866e-09
2449040000.0,-960000.0,0.011181085905572955,2.7286719150322698e-09,1.0779045871485444e-09,6.729465086665219e-09
2449047500.0,-952500.0,0.011355851815640373,2.771322408422033e-09,1.0882059223126135e-09,1.6454369666476702e-09
2449055000.0,-945000.0,0.011534731311381247,2.814976795869318e-09,1.0986495151071905e-09,2.1241722730648552e-09
2449062500.0,-937500.0,0.011717853988023486,2.859666704253812e-09,1.1092378729929887e-09,5.25555816662489e-09
2449070000.0,-930000.0,0.011905354563375457,2.9054250105879317e-09,1.1199735557288874e-09,3.23618832059764e-09
2449077500.0,-922500.0,0.01209737312168254,2.9522859015284415e-09,1.1308591765853577e-09,4.072901344673657e-09
2449085000.0,-915000.0,0.01229405537107361,3.000284936204607e-09,1.1418974035870037e-09,3.815296542742586e-09
2449092500.0,-907500.0,0.012495552915465944,3.0494591125748365e-09,1.1530909607848277e-09,4.8776991709575315e-09
2449100000.0,-900000.0,0.012702023541859545,3.0998469375390047e-09,1.1644426295588519e-09,7.07925328972529e-09
2449107500.0,-892500.0,0.012913631524019352,3.151488501050141e-09,1.175955249951726e-09,4.5086135648053585e-09
2449115000.0,-885000.0,0.013130547943617283,3.2044255544870715e-09,1.187631722033946e-09,5.679934863074733e-09
2449122500.0,-877500.0,0.013352951029984692,3.2587015935688184e-09,1.1994750073013276e-09,3.578323988081007e-10
2449130000.0,-870000.0,0.013581026519711773,3.3143619461125124e-09,1.2114881301053572e-09,4.428413272357633e-09
2449137500.0,-862500.0,0.013814968037422973,3.3714538649591788e-09,1.2236741791170662e-09,2.9086675034905025e-09
2449145000.0,-855000.0,0.014054977499157633,3.4300266264161813e-09,1.2360363088250457e-09,2.228436814393971e-09
2449152500.0,-847500.0,0.01430126553989451,3.490131634591825e-09,1.2485777410682451e-09,2.9824046418025688e-09
2449160000.0,-840000.0,0.014554051966876168,3.551822532026251e-09,1.26130176660416e-09,4.144877417228787e-09
2449167500.0,-832500.0,0.014813566240518017,3.615155317054185e-09,1.2742117467130393e-09,6.7211721484792505e-09
2449175000.0,-825000.0,0.015080047984825744,3.680188468369021e-09,1.2873111148387098e-09,2.314714147728603e-09
2449182500.0,-817500.0,0.01535374752939593,3.746983077294577e-09,1.30060337826661e-09,5.108849440750022e-09
2449190000.0,-810000.0,0.01563492648523987,3.815602988311184e-09,1.314092119839626e-09,4.161356241483652e-09
2449197500.0,-802500.0,0.015923858356848824,3.886114948426265e-09,1.327780999712276e-09,4.55854975941462e-09
2449205000.0,-795000.0,0.01622082919311475,3.958588766027344e-09,1.3416737571438098e-09,7.305778173780361e-09
2449212500.0,-787500.0,0.01652613827993255,4.03309747990715e-09,1.355774212330722e-09,6.465102566245725e-09
2449220000.0,-780000.0,0.01684009887754183,4.109717539207132e-09,1.3700862682792008e-09,8.15460002237182e-09
2449227500.0,-772500.0,0.017163039005919072,4.188528995087342e-09,1.3846139127179586e-09,5.2641315493055e-09
2449235000.0,-765000.0,0.01749530228180713,4.269615704998092e-09,1.399361220051893e-09,4.277091701708578e-09
2449242500.0,-757500.0,0.01783724881127106,4.3530655505024464e-09,1.414332353356967e-09,5.319680270098415e-09
2449250000.0,-750000.0,0.018189256141998927,4.4389706696790964e-09,1.4295315664166632e-09,6.353495818638202e-09
2449257500.0,-742500.0,0.018551720279927766,4.5274277052233664e-09,1.4449632058003248e-09,6.325537627931114e-09
2449265000.0,-735000.0,0.01892505677517033,4.618538069460636e-09,1.4606317129836238e-09,3.910393637977527e-09
2449272500.0,-727500.0,0.0193097018826517,4.712408227592223e-09,1.4765416265113668e-09,6.369929417359338e-09
2449280000.0,-720000.0,0.019706113803340697,4.809150000609898e-09,1.492697584202749e-09,6.758304245090457e-09
2449287500.0,-712500.0,0.020114774012482725,4.908880889442554e-09,1.5091043253991337e-09,1.1452933289909528e-08
2449295000.0,-705000.0,0.020536188681814463,5.011724422038523e-09,1.5257666932543125e-09,1.0291180337856176e-08
2449302500.0,-697500.0,0.020970890203371347,5.117810525240972e-09,1.54268963706715e-09,4.954013461190482e-09
2449310000.0,-690000.0,0.021419438823192298,5.227275923483004e-09,1.5598782146563962e-09,6.212387415041048e-09
2449317500.0,-682500.0,0.021882424393990817,5.340264566515736e-09,1.5773375947773542e-09,3.990718157619084e-09
2449325000.0,-675000.0,0.02236046825670302,5.456928088587969e-09,1.5950730595799717e-09,5.870587120240968e-09
2449332500.0,-667500.0,0.022854225261752743,5.577426301722893e-09,1.6130900071077972e-09,7.82172631601137e-09
2449340000.0,-660000.0,0.02336438594189907,5.7019277259875255e-09,1.6313939538371013e-09,9.745028921601094e-09
2449347500.0,-652500.0,0.023891678849664918,5.83061015992708e-09,1.6499905372553125e-09,6.022433021695176e-09
2449355000.0,-645000.0,0.024436873073598854,5.963661294642435e-09,1.6688855184777537e-09,6.324253932984595e-09
2449362500.0,-637500.0,0.02500078094900924,6.101279375327325e-09,1.688084784901479e-09,3.4947861007514933e-09
2449370000.0,-630000.0,0.02558426098034711,6.243673914457039e-09,1.707594352894817e-09,7.625936426262041e-09
2449377500.0,-622500.0,0.0261882209941184,6.391066461236311e-09,1.7274203705210192e-09,5.993658008038204e-09
2449385000.0,-615000.0,0.02681362154309767,6.543691432375736e-09,1.7475691202941661e-09,7.232381697937754e-09
2449392500.0,-607500.0,0.027461479584717462,6.701797009778966e-09,1.7680470219652487e-09,6.7161224754090385e-09
2449400000.0,-600000.0,0.028132872458843522,6.865646111293109e-09,1.7888606353360587e-09,8.465981638124053e-09
2449407500.0,-592500.0,0.028828942192747828,7.035517441309631e-09,1.8100166630982254e-09,5.3300773216945935e-09
2449415000.0,-585000.0,0.029550900163988418,7.211706628710112e-09,1.831521953694436e-09,6.1091380916225675e-09
2449422500.0,-577500.0,0.030300032155136162,7.39452746043972e-09,1.8533835041984966e-09,1.3506405188694812e-08
2449430000.0,-570000.0,0.031077703837895806,7.584313219871589e-09,1.875608463210555e-09,6.8850765205340826e-09
2449437500.0,-562500.0,0.03188536672819751,7.781418140108504e-09,1.8982041337633764e-09,7.486051116962602e-09
2449445000.0,-555000.0,0.032724564658342455,7.986218983468304e-09,1.92117797623514e-09,1.3581224016346073e-08
2449452500.0,-547500.0,0.03359694081733059,8.199116759630473e-09,1.9445376112637528e-09,1.595378870937504e-08
2449460000.0,-540000.0,0.03450424541615195,8.42053859630105e-09,1.968290822657176e-09,8.045696161307542e-09
2449467500.0,-532500.0,0.03544834404116438,8.650939777800601e-09,1.992445560293696e-09,9.906887424518237e-09
2449475000.0,-525000.0,0.03643122676579926,8.89080596871725e-09,2.017009943005519e-09,1.1590927013603788e-08
2449482500.0,-517500.0,0.03745501809883881,9.140655641719589e-09,2.041992261438397e-09,1.4640043191969171e-08
2449490000.0,-510000.0,0.03852198785650888,9.401042730820834e-09,2.0674009808793483e-09,9.494729554843707e-09
2449497500.0,-502500.0,0.03963456305576703,9.672559533859079e-09,2.0932447440437904e-09,1.1275248586018649e-08
2449505000.0,-495000.0,0.04079534093758942,9.955839890746481e-09,2.1195323738126136e-09,1.3630047416682582e-08
2449512500.0,-487500.0,0.042007103241947626,1.0251562667185303e-08,2.146272875908901e-09,1.3267367692027442e-08
2449520000.0,-480000.0,0.043272831870720015,1.0560455577100437e-08,2.1734754415030846e-09,1.1981618876143322e-08
2449527500.0,-472500.0,0.04459572609123011,1.0883299381052002e-08,2.201149449734361e-09,1.2816802901754281e-08
2449535000.0,-465000.0,0.04597922145171013,1.1220932502432249e-08,2.229304470135166e-09,1.070044535582745e-08
2449542500.0,-457500.0,0.04742701060105292,1.1574256108391763e-08,2.2579502649443703e-09,1.3355858885386803e-08
2449550000.0,-450000.0,0.04894306622908047,1.1944239708264068e-08,2.2870967912937097e-09,1.3698561519539867e-08
2449557500.0,-442500.0,0.050531666370618296,1.2331927328861813e-08,2.3167542032506577e-09,1.511302131136498e-08
2449565000.0,-435000.0,0.05219742234736655,1.2738444333510227e-08,2.346932853699605e-09,1.39747227495718e-08
2449572500.0,-427500.0,0.05394530965641262,1.3165004960189442e-08,2.3776432960417566e-09,1.6485725301321477e-08
2449580000.0,-420000.0,0.05578070215381814,1.3612920663818475e-08,2.40889628569262e-09,1.8047248585150754e-08
2449587500.0,-412500.0,0.05770940992669151,1.408360935869031e-08,2.440702781354277e-09,1.683517079538152e-08
2449595000.0,-405000.0,0.05973772129827657,1.457860566954292e-08,2.473073946037904e-09,1.775519243237923e-08
2449602500.0,-397500.0,0.061872449468685475,1.509957231392937e-08,2.5060211478101088e-09,1.7711904156895214e-08
2449610000.0,-390000.0,0.06412098435992783,1.5648312754662865e-08,2.539555960234646e-09,1.818803750108034e-08
2449617500.0,-382500.0,0.06649135030888985,1.622678527941627e-08,2.573690162478984e-09,1.7357359374809558e-08
2449625000.0,-375000.0,0.06899227033705929,1.683711868533405e-08,2.6084357390529057e-09,2.007854294773357e-08
2449632500.0,-367500.0,0.07163323782234958,1.7481629770078798e-08,2.6438048791439294e-09,1.9930861452395748e-08
2449640000.0,-360000.0,0.07442459650771648,1.8162842857418165e-08,2.6798099755118268e-09,2.5028989450791184e-08
2449647500.0,-352500.0,0.07737762990482648,1.888351161561366e-08,2.7164636229017777e-09,2.4746685043465925e-08
2449655000.0,-345000.0,0.08050466129030094,1.9646643460859184e-08,2.7537786159328853e-09,2.317211518190507e-08
2449662500.0,-337500.0,0.08381916564845525,2.045552687618469e-08,2.79176794641574e-09,2.1721180403210898e-08
2449670000.0,-330000.0,0.0873358950892565,2.1313762018899997e-08,2.8304448000495372e-09,2.1919383874982697e-08
2449677500.0,-322500.0,0.09107101946439164,2.2225295037039474e-08,2.8698225524459093e-09,2.747740349566311e-08
2449685000.0,-315000.0,0.09504228411824035,2.319445656746974e-08,2.909914764423068e-09,2.6629869782187085e-08
2449692500.0,-307500.0,0.09926918694360054,2.4226004945197712e-08,2.950735176510166e-09,2.8137026928491097e-08
2449700000.0,-300000.0,0.1037731771621213,2.532517471445349e-08,2.9922977025978316e-09,2.4828300443102938e-08
2449707500.0,-292500.0,0.10857787851216198,2.6497731096248126e-08,3.0346164226667755e-09,3.1387224482031264e-08
2449715000.0,-285000.0,0.11370933979438551,2.775003113241007e-08,3.0777055745220413e-09,3.1736577383360834e-08
2449722500.0,-277500.0,0.11919631598491601,2.908909228943855e-08,3.1215795444560103e-09,2.99898104650656e-08
2449730000.0,-270000.0,0.12507058335712157,3.052266936194261e-08,3.166252856758583e-09,3.2745872603801295e-08
2449737500.0,-262500.0,0.1313672922252011,3.205934055743888e-08,3.2117401619881036e-09,3.579851512814002e-08
2449745000.0,-255000.0,0.1381253609898543,3.370860366065632e-08,3.2580562239115427e-09,3.707159348128035e-08
2449752500.0,-247500.0,0.14538791506100118,3.5480983149795596e-08,3.3052159050172345e-09,3.8201856683205725e-08
2449760000.0,-240000.0,0.15320277385713663,3.738814904558119e-08,3.3532341504980865e-09,4.053440665994735e-08
2449767500.0,-232500.0,0.16162298829529143,3.94430480822204e-08,3.402125970597615e-09,4.2341219296404246e-08
2449775000.0,-225000.0,0.17070742979025955,4.1660047448866716e-08,3.451906421205516e-09,4.541707889427717e-08
2449782500.0,-217500.0,0.18052142949514144,4.405509079215225e-08,3.502590582583667e-09,5.050066532072223e-08
2449790000.0,-210000.0,0.1911374629427368,4.6645865298504846e-08,3.5541935360976003e-09,4.506674195273985e-08
2449797500.0,-202500.0,0.20263586984042314,4.945197735544662e-08,3.6067303388225306e-09,5.258500716524978e-08
2449805000.0,-195000.0,0.21510559077438013,5.249513233950939e-08,3.6602159958870843e-09,5.650837317814137e-08
2449812500.0,-187500.0,0.2286448909627655,5.579931124353018e-08,3.7146654304119228e-09,6.01059646533163e-08
2449820000.0,-180000.0,0.24336202457743591,5.939093280008334e-08,3.770093450894622e-09,6.241719708833538e-08
2449827500.0,-172500.0,0.2593757697011075,6.3298984034326e-08,3.826514715886417e-09,6.361205518525525e-08
2449835000.0,-165000.0,0.27681573134231996,6.755509421284609e-08,3.8839436958008926e-09,7.20950288760752e-08
2449842500.0,-157500.0,0.2958222651533446,7.219351622750966e-08,3.9423946316894695e-09,7.95906112875275e-08
2449850000.0,-150000.0,0.3165458141067898,7.725096471566386e-08,4.001881490813647e-09,7.818512339664523e-08
2449857500.0,-142500.0,0.33914537061625305,8.276624075059896e-08,4.062417918839517e-09,8.855631469683486e-08
2449865000.0,-135000.0,0.36378567402621803,8.877954790702939e-08,4.124017188476259e-09,9.224651464925986e-08
2449872500.0,-127500.0,0.3906326263658313,9.533137350536413e-08,4.186692144377192e-09,9.939541695808362e-08
2449880000.0,-120000.0,0.4198462603781239,1.024607725045832e-07,4.2504551441196495e-09,1.0460543062729496e-07
2449887500.0,-112500.0,0.4515704344555201,1.1020285261769989e-07,4.315317995078685e-09,1.1384925826806683e-07
2449895000.0,-105000.0,0.485918286394288,1.1858522439433459e-07,4.3812918870095355e-09,1.2556660547074203e-07
2449902500.0,-97500.0,0.5229524050147673,1.276231622324928e-07,4.448387320154995e-09,1.332368600366232e-07
2449910000.0,-90000.0,0.5626587677280865,1.373132440097839e-07,4.516614028696812e-09,1.452944812493006e-07
2449917500.0,-82500.0,0.6049138860615345,1.4762533316074694e-07,4.585980899374789e-09,1.545661378380771e-07
2449925000.0,-75000.0,0.6494454963483905,1.5849298549318643e-07,4.6564958851041106e-09,1.640276547361497e-07
2449932500.0,-67500.0,0.6957887537817756,1.6980275862949328e-07,4.728165913430464e-09,1.7801879359525933e-07
2449940000.0,-60000.0,0.7432424066071495,1.813835166009306e-07,4.800996789674284e-09,1.8706249970808148e-07
2449947500.0,-52500.0,0.7908327953518398,1.9299764409174788e-07,4.874993094630061e-09,1.9952861353997205e-07
2449955000.0,-45000.0,0.8372972143564564,2.0433698592821434e-07,4.950158076704673e-09,2.086940020978496e-07
2449962500.0,-37500.0,0.8811009174311928,2.1502699719937993e-07,5.0264935384002105e-09,2.2018658236949857e-07
2449970000.0,-30000.0,0.920501771227898,2.2464252149561803e-07,5.103999717072385e-09,2.2835167356608986e-07
2449977500.0,-22500.0,0.9536708981427051,2.3273723303105697e-07,5.182675159925491e-09,2.3989907606017217e-07
